,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi,opened_at
636,closed,0.0029,44.0,-0.018462274303479614,1667571360000.0,1667574000000,20968.0,20907.5,1667572860000.0,21293.5,2022-10-30 00:00:00,sell,1m,4,2022-11-04 14:16:00
637,closed,0.0063,38.0,-0.015523655093475773,1667571720000.0,1667574000000,21100.0,20968.0,1667572860000.0,21293.5,2022-10-30 00:00:00,sell,15m,4,2022-11-04 14:22:00
638,open,-0.0549,47797.0,-0.18090185676392573,1667935380000.0,1670803200000,18071.0,18850.0,1669067520000.0,15440.0,2022-11-01 00:00:00,buy,1h,-4,2022-11-08 19:23:00
639,open,-0.094,47873.0,-0.21628343738896502,1667930820000.0,1670803200000,18850.0,19701.0,1669067520000.0,15440.0,2022-11-01 00:00:00,buy,1h,-3,2022-11-08 18:07:00
640,closed,0.0123,709.0,-0.037279382270357,1667880660000.0,1667923200000,19701.0,19944.0,1667921340000.0,19200.5,2022-11-01 00:00:00,buy,1h,-2,2022-11-08 04:11:00
641,closed,0.001,709.0,-0.03819566197465311,1667880660000.0,1667923200000,19944.0,19963.0,1667921340000.0,19200.5,2022-11-01 00:00:00,buy,1h,2,2022-11-08 04:11:00
642,closed,0.009,709.0,-0.04674312382087181,1667880660000.0,1667923200000,19963.0,20142.0,1667921340000.0,19200.5,2022-11-01 00:00:00,buy,15m,-4,2022-11-08 04:11:00
643,closed,0.0088,272.0,-0.013213582677165355,1667417280000.0,1667433600000,20142.0,20320.0,1667424420000.0,20051.5,2022-11-01 00:00:00,buy,15m,-3,2022-11-02 19:28:00
644,closed,0.0013,1.0,-0.0014252715388017889,1667311980000.0,1667312040000,20320.0,20347.0,1667311980000.0,20318.0,2022-11-01 00:00:00,buy,1m,-4,2022-11-01 14:13:00
645,closed,0.0013,6.0,-0.0027486011583390596,1667311680000.0,1667312040000,20347.0,20374.0,1667311980000.0,20318.0,2022-11-01 00:00:00,buy,1m,-3,2022-11-01 14:08:00
646,closed,0.004,14.0,-0.005206296441141963,1667310360000.0,1667311200000,20374.0,20456.0,1667310480000.0,20349.5,2022-11-01 00:00:00,buy,1m,-2,2022-11-01 13:46:00
647,closed,0.0022,59.0,-0.0035853658536585367,1667260860000.0,1667264400000,20456.0,20500.0,1667262480000.0,20426.5,2022-11-01 00:00:00,buy,1m,2,2022-11-01 00:01:00
648,closed,0.0021,633.0,-0.011390301134141571,1667266020000.0,1667304000000,20500.0,20456.0,1667295960000.0,20689.0,2022-11-01 00:00:00,sell,1m,3,2022-11-01 01:27:00
649,closed,0.0011,12.0,-0.001926829268292683,1667266260000.0,1667266980000,20523.5,20500.0,1667266260000.0,20539.5,2022-11-01 00:00:00,sell,1m,4,2022-11-01 01:31:00
650,closed,0.0123,7.0,-0.012936389991960435,1667413800000.0,1667414220000,20778.5,20523.5,1667413860000.0,20789.0,2022-11-01 00:00:00,sell,15m,2,2022-11-02 18:30:00
651,closed,0.0046,107.0,-0.024785234737829967,1667571180000.0,1667577600000,20873.5,20778.5,1667572860000.0,21293.5,2022-11-01 00:00:00,sell,15m,3,2022-11-04 14:13:00
652,closed,0.0107,38.0,-0.020121206314226172,1667571720000.0,1667574000000,21100.0,20873.5,1667572860000.0,21293.5,2022-11-01 00:00:00,sell,15m,4,2022-11-04 14:22:00
653,open,-0.0549,47797.0,-0.181119066560594,1667935380000.0,1670803200000,18071.0,18855.0,1669067520000.0,15440.0,2022-11-03 00:00:00,buy,1h,-4,2022-11-08 19:23:00
654,open,-0.0942,47873.0,-0.21628343738896502,1667930820000.0,1670803200000,18855.0,19701.0,1669067520000.0,15440.0,2022-11-03 00:00:00,buy,1h,-3,2022-11-08 18:07:00
655,closed,0.0123,709.0,-0.037279382270357,1667880660000.0,1667923200000,19701.0,19944.0,1667921340000.0,19200.5,2022-11-03 00:00:00,buy,1h,-2,2022-11-08 04:11:00
656,closed,0.0054,709.0,-0.042440715158466945,1667880660000.0,1667923200000,19944.0,20051.5,1667921340000.0,19200.5,2022-11-03 00:00:00,buy,1h,2,2022-11-08 04:11:00
657,closed,0.0025,2.0,-0.0033577913194876258,1667476080000.0,1667476200000,20051.5,20102.5,1667476080000.0,20035.0,2022-11-03 00:00:00,buy,1m,-4,2022-11-03 11:48:00
658,closed,0.0078,15.0,-0.011032406150504727,1667475900000.0,1667476800000,20102.5,20258.5,1667476080000.0,20035.0,2022-11-03 00:00:00,buy,1m,-3,2022-11-03 11:45:00
659,closed,0.0077,390.0,-0.013903743315508022,1667439000000.0,1667462400000,20258.5,20102.5,1667449200000.0,20382.0,2022-11-03 00:00:00,sell,1m,-2,2022-11-03 01:30:00
660,closed,0.004,233.0,-0.006096206530592097,1667448420000.0,1667462400000,20339.5,20258.5,1667449200000.0,20382.0,2022-11-03 00:00:00,sell,1m,2,2022-11-03 04:07:00
661,closed,0.0097,5394.0,-0.05558150397010743,1667541960000.0,1667865600000,20539.5,20339.5,1667609100000.0,21470.0,2022-11-03 00:00:00,sell,1m,3,2022-11-04 06:06:00
662,closed,0.012,4738.0,-0.04530295284695343,1667566920000.0,1667851200000,20789.0,20539.5,1667609100000.0,21470.0,2022-11-03 00:00:00,sell,1m,4,2022-11-04 13:02:00
663,closed,0.0021,7.0,-0.003968444850642167,1667567760000.0,1667568180000,20832.0,20789.0,1667567760000.0,20871.5,2022-11-03 00:00:00,sell,15m,3,2022-11-04 13:16:00
664,closed,0.0127,38.0,-0.0221534178187404,1667571720000.0,1667574000000,21100.0,20832.0,1667572860000.0,21293.5,2022-11-03 00:00:00,sell,15m,4,2022-11-04 14:22:00
665,closed,0.023,3.0,-0.03674540682414698,1667931540000.0,1667931720000,18621.5,19050.0,1667931660000.0,18350.0,2022-11-05 00:00:00,buy,1h,-4,2022-11-08 18:19:00
666,open,-0.1035,47875.0,-0.21628343738896502,1667930700000.0,1670803200000,19050.0,19701.0,1669067520000.0,15440.0,2022-11-05 00:00:00,buy,1h,-3,2022-11-08 18:05:00
667,closed,0.0063,1.0,-0.014224464060529634,1667880660000.0,1667880720000,19701.0,19825.0,1667880660000.0,19543.0,2022-11-05 00:00:00,buy,1h,-2,2022-11-08 04:11:00
668,closed,0.0095,709.0,-0.0406225797586629,1667880660000.0,1667923200000,19825.0,20013.5,1667921340000.0,19200.5,2022-11-05 00:00:00,buy,1h,2,2022-11-08 04:11:00
669,closed,0.0104,710.0,-0.05051429136583919,1667880600000.0,1667923200000,20013.5,20222.0,1667921340000.0,19200.5,2022-11-05 00:00:00,buy,15m,-4,2022-11-08 04:10:00
670,closed,0.0093,726.0,-0.059283212072217734,1667879640000.0,1667923200000,20222.0,20410.5,1667921340000.0,19200.5,2022-11-05 00:00:00,buy,15m,-3,2022-11-08 03:54:00
671,closed,0.0119,93.0,-0.013992446983635132,1667860020000.0,1667865600000,20410.5,20654.0,1667860020000.0,20365.0,2022-11-05 00:00:00,buy,15m,-2,2022-11-07 22:27:00
672,closed,0.0088,488.0,-0.012718982481401488,1667807520000.0,1667836800000,20654.0,20835.0,1667808060000.0,20570.0,2022-11-05 00:00:00,buy,1m,-4,2022-11-07 07:52:00
673,closed,0.0072,6.0,-0.007385876298484704,1667782440000.0,1667782800000,20835.0,20986.0,1667782440000.0,20831.0,2022-11-05 00:00:00,buy,1m,-3,2022-11-07 00:54:00
