,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
262,closed,0.0105,35.0,-0.013893389500972133,1660461900000.0,1660464000000,24950.0,24688.0,1660463400000.0,25031.0,2022-08-14 00:00:00,sell,15m,4
255,closed,0.0027,181.0,-0.010973683670748467,1660496340000.0,1660507200000,24310.0,24376.5,1660500180000.0,24109.0,2022-08-14 00:00:00,buy,1m,-4
254,closed,0.0011,15.0,-0.00658165364047717,1660496400000.0,1660497300000,24284.0,24310.0,1660496940000.0,24150.0,2022-08-14 00:00:00,buy,15m,2
239,closed,0.0053,178.0,-0.009164885747164227,1660496520000.0,1660507200000,24203.0,24332.0,1660500180000.0,24109.0,2022-08-13 00:00:00,buy,1m,2
274,closed,0.0038,28.0,-0.008944507128936302,1660521720000.0,1660523400000,24279.5,24372.5,1660522620000.0,24154.5,2022-08-15 00:00:00,buy,1m,-2
273,closed,0.0026,7.0,-0.003809798389587924,1660522080000.0,1660522500000,24216.0,24279.5,1660522260000.0,24187.0,2022-08-15 00:00:00,buy,1m,-3
275,closed,0.0038,205.0,-0.03787145534298482,1660523700000.0,1660536000000,24372.5,24279.5,1660533420000.0,25199.0,2022-08-15 00:00:00,sell,1m,2
276,closed,0.0026,149.0,-0.03391117037644887,1660527060000.0,1660536000000,24435.5,24372.5,1660533420000.0,25199.0,2022-08-15 00:00:00,sell,1m,3
277,closed,0.0042,139.0,-0.03124552393034724,1660527660000.0,1660536000000,24539.0,24435.5,1660533420000.0,25199.0,2022-08-15 00:00:00,sell,1m,4
278,closed,0.006,112.0,-0.02689596153062472,1660529280000.0,1660536000000,24688.0,24539.0,1660533420000.0,25199.0,2022-08-15 00:00:00,sell,15m,3
279,closed,0.0137,48.0,-0.020698314970836032,1660533120000.0,1660536000000,25031.0,24688.0,1660533420000.0,25199.0,2022-08-15 00:00:00,sell,15m,4
238,closed,0.0047,62.0,-0.011114324670495394,1660546680000.0,1660550400000,24090.0,24203.0,1660549140000.0,23934.0,2022-08-13 00:00:00,buy,1m,-2
272,closed,0.0044,62.0,-0.011645193260654113,1660546680000.0,1660550400000,24109.0,24216.0,1660549140000.0,23934.0,2022-08-15 00:00:00,buy,1m,-4
237,closed,0.0025,2.0,-0.0035284350352843504,1660547580000.0,1660547700000,24029.5,24090.0,1660547700000.0,24005.0,2022-08-13 00:00:00,buy,1m,-3
271,closed,0.0042,45.0,-0.0072587000705130866,1660547700000.0,1660550400000,24008.0,24109.0,1660549140000.0,23934.0,2022-08-15 00:00:00,buy,15m,-2
236,closed,0.004,1.0,-0.0045568988118770675,1660551240000.0,1660551300000,23934.0,24029.5,1660551240000.0,23920.0,2022-08-13 00:00:00,buy,1m,-4
253,closed,0.019,1738.0,-0.025490034590676988,1660604520000.0,1660708800000,23832.0,24284.0,1660662240000.0,23665.0,2022-08-14 00:00:00,buy,15m,-2
291,closed,0.007,44.0,-0.008588576158940398,1660608960000.0,1660611600000,23991.0,24160.0,1660609020000.0,23952.5,2022-08-16 00:00:00,buy,1m,-2
292,closed,0.007,117.0,-0.009837022216664583,1660611780000.0,1660618800000,24160.0,23991.0,1660613520000.0,24227.0,2022-08-16 00:00:00,sell,1m,2
293,closed,0.0019,8.0,-0.00244205298013245,1660612920000.0,1660613400000,24205.0,24160.0,1660613160000.0,24219.0,2022-08-16 00:00:00,sell,1m,3
290,closed,0.0034,6.0,-0.005877203951481806,1660619340000.0,1660619700000,23910.0,23991.0,1660619640000.0,23850.0,2022-08-16 00:00:00,buy,1m,-3
289,closed,0.0063,43.0,-0.00987034713508992,1660659420000.0,1660662000000,23760.0,23910.0,1660660500000.0,23674.0,2022-08-16 00:00:00,buy,1m,-4
288,closed,0.0016,1.0,-0.0021043771043771043,1660659420000.0,1660659480000,23721.0,23760.0,1660659420000.0,23710.0,2022-08-16 00:00:00,buy,15m,-3
309,closed,0.0075,224.0,-0.012449267133514184,1660695360000.0,1660708800000,23957.0,23776.5,1660705920000.0,24072.5,2022-08-17 00:00:00,sell,1m,2
310,closed,0.0015,3.0,-0.0028175481070250867,1660695480000.0,1660695660000,23993.0,23957.0,1660695540000.0,24024.5,2022-08-17 00:00:00,sell,1m,3
